vertices: 350
edges: 939
(0,3)
(0,5)
(0,49)
(0,180)
(1,4)
(1,47)
(1,209)
(1,51)
(256,51)
(1,256)
(1,258)
(46,2)
(46,182)
(2,73)
(2,178)
(2,182)
(183,182)
(2,183)
(328,183)
(2,328)
(2,334)
(3,5)
(5,46)
(3,46)
(46,178)
(3,178)
(3,180)
(3,181)
(4,47)
(4,48)
(4,49)
(48,49)
(7,6)
(6,224)
(6,248)
(6,237)
(6,241)
(11,7)
(7,58)
(7,68)
(7,224)
(224,68)
(7,225)
(7,241)
(7,304)
(9,8)
(8,10)
(8,11)
(11,58)
(8,58)
(9,10)
(9,42)
(19,9)
(9,58)
(9,245)
(10,11)
(10,42)
(10,172)
(10,196)
(11,188)
(11,225)
(12,70)
(252,12)
(12,164)
(12,187)
(12,194)
(13,16)
(13,30)
(44,13)
(13,343)
(13,45)
(13,312)
(13,300)
(13,314)
(21,14)
(14,293)
(14,310)
(14,30)
(30,300)
(14,300)
(14,314)
(300,314)
(16,314)
(16,15)
(15,117)
(344,301)
(15,344)
(15,301)
(15,321)
(15,341)
(15,349)
(16,117)
(16,343)
(16,346)
(18,17)
(17,324)
(117,344)
(17,336)
(18,324)
(299,18)
(18,336)
(19,20)
(19,29)
(19,35)
(19,245)
(19,42)
(19,43)
(20,29)
(20,43)
(20,44)
(86,21)
(21,293)
(293,342)
(21,314)
(21,349)
(314,349)
(21,340)
(21,342)
(342,340)
(27,22)
(22,131)
(131,144)
(22,308)
(22,138)
(22,144)
(23,24)
(25,23)
(23,33)
(23,26)
(23,28)
(23,32)
(23,36)
(23,109)
(24,27)
(24,33)
(24,109)
(24,307)
(307,311)
(24,311)
(25,28)
(29,35)
(25,29)
(25,34)
(25,35)
(25,36)
(25,41)
(26,32)
(26,33)
(26,115)
(27,33)
(33,115)
(27,147)
(27,113)
(27,115)
(27,307)
(27,308)
(28,32)
(28,34)
(111,28)
(29,41)
(29,44)
(30,310)
(30,312)
(31,307)
(308,307)
(31,308)
(31,337)
(31,339)
(337,339)
(32,111)
(32,116)
(34,35)
(66,35)
(34,66)
(34,107)
(34,108)
(34,111)
(36,41)
(36,40)
(36,109)
(36,110)
(117,37)
(117,346)
(37,208)
(37,346)
(37,347)
(38,39)
(38,53)
(38,54)
(39,51)
(51,209)
(39,54)
(39,99)
(40,41)
(40,110)
(40,312)
(41,44)
(44,45)
(41,45)
(41,312)
(312,45)
(42,43)
(42,172)
(42,204)
(43,44)
(43,204)
(43,212)
(44,212)
(44,343)
(44,347)
(47,49)
(160,47)
(47,159)
(47,209)
(47,238)
(48,185)
(48,257)
(185,257)
(48,258)
(49,160)
(49,161)
(49,180)
(50,61)
(117,61)
(50,117)
(117,208)
(50,205)
(50,208)
(50,212)
(50,319)
(50,320)
(53,233)
(53,52)
(53,54)
(52,54)
(54,99)
(52,99)
(52,211)
(52,233)
(52,267)
(56,55)
(55,57)
(55,59)
(55,210)
(55,211)
(55,238)
(55,244)
(56,59)
(56,209)
(56,210)
(57,135)
(57,152)
(57,211)
(57,227)
(57,244)
(58,245)
(58,60)
(68,58)
(59,209)
(238,59)
(209,238)
(60,68)
(60,245)
(60,305)
(61,205)
(61,202)
(61,213)
(61,214)
(62,63)
(62,231)
(228,62)
(62,297)
(63,231)
(63,297)
(63,232)
(63,267)
(64,71)
(64,82)
(74,64)
(64,81)
(64,83)
(65,235)
(65,236)
(65,237)
(65,246)
(65,305)
(66,107)
(66,306)
(239,66)
(66,245)
(236,237)
(236,67)
(67,237)
(237,241)
(67,241)
(241,304)
(67,303)
(67,304)
(68,305)
(68,247)
(68,248)
(80,69)
(69,84)
(69,254)
(69,223)
(69,253)
(70,72)
(70,78)
(70,157)
(70,187)
(70,190)
(70,252)
(70,313)
(71,77)
(71,82)
(72,78)
(72,82)
(72,313)
(75,266)
(73,75)
(73,79)
(73,178)
(73,266)
(73,334)
(76,74)
(74,81)
(78,82)
(74,82)
(74,78)
(74,79)
(178,79)
(74,178)
(75,83)
(75,76)
(75,79)
(76,79)
(76,81)
(81,83)
(76,83)
(80,254)
(77,254)
(77,80)
(77,82)
(78,157)
(78,178)
(181,178)
(78,181)
(78,184)
(80,82)
(82,313)
(80,84)
(80,313)
(84,253)
(84,252)
(84,313)
(252,313)
(117,85)
(85,299)
(117,299)
(85,324)
(85,335)
(301,86)
(86,340)
(301,340)
(86,322)
(86,341)
(349,341)
(86,349)
(88,87)
(87,162)
(87,171)
(87,260)
(87,265)
(88,162)
(88,108)
(108,111)
(88,111)
(111,292)
(88,112)
(88,141)
(88,143)
(88,265)
(88,280)
(88,290)
(292,290)
(88,292)
(89,96)
(89,126)
(89,129)
(89,146)
(89,153)
(90,91)
(91,262)
(90,262)
(90,263)
(90,291)
(90,315)
(90,317)
(90,318)
(92,93)
(96,124)
(92,124)
(96,92)
(92,156)
(93,124)
(93,156)
(93,127)
(93,132)
(95,94)
(94,123)
(94,278)
(94,168)
(94,291)
(95,123)
(106,95)
(95,278)
(96,97)
(96,125)
(96,279)
(96,126)
(96,130)
(97,100)
(97,103)
(97,125)
(97,279)
(125,279)
(97,130)
(97,154)
(99,98)
(99,209)
(98,209)
(98,210)
(209,210)
(99,210)
(99,211)
(211,210)
(100,103)
(100,125)
(100,149)
(101,103)
(101,104)
(101,155)
(101,286)
(101,288)
(286,288)
(102,103)
(103,149)
(125,156)
(125,102)
(102,149)
(125,149)
(102,155)
(102,283)
(103,154)
(103,136)
(103,286)
(136,286)
(104,127)
(127,156)
(104,155)
(155,283)
(104,156)
(104,283)
(283,156)
(152,105)
(105,281)
(105,186)
(105,296)
(306,107)
(106,107)
(106,123)
(106,306)
(106,162)
(106,163)
(106,278)
(167,278)
(107,108)
(162,107)
(162,108)
(109,110)
(311,109)
(110,311)
(110,312)
(110,338)
(111,112)
(111,114)
(111,116)
(112,114)
(113,112)
(113,147)
(112,141)
(112,146)
(112,147)
(113,114)
(114,116)
(113,115)
(115,116)
(113,116)
(117,324)
(324,335)
(117,335)
(118,139)
(118,175)
(118,275)
(119,127)
(132,127)
(119,132)
(119,145)
(119,175)
(120,151)
(176,120)
(120,281)
(120,235)
(120,316)
(121,128)
(128,269)
(121,142)
(121,148)
(121,177)
(121,268)
(121,269)
(121,272)
(121,273)
(121,285)
(121,289)
(123,306)
(123,122)
(122,291)
(123,291)
(122,318)
(239,122)
(122,306)
(239,306)
(124,129)
(129,140)
(124,132)
(124,133)
(124,140)
(126,130)
(126,131)
(131,147)
(126,146)
(126,147)
(146,147)
(130,131)
(130,154)
(131,136)
(131,154)
(154,136)
(132,133)
(132,175)
(132,302)
(133,140)
(140,153)
(133,153)
(133,302)
(133,166)
(133,276)
(134,150)
(134,315)
(134,263)
(134,277)
(135,152)
(152,281)
(135,227)
(135,281)
(144,138)
(144,137)
(137,138)
(137,250)
(138,250)
(250,309)
(138,308)
(139,175)
(175,302)
(139,275)
(139,274)
(139,302)
(141,143)
(143,153)
(141,146)
(141,153)
(146,153)
(142,148)
(142,268)
(142,295)
(143,276)
(143,280)
(145,175)
(145,273)
(148,177)
(148,186)
(148,295)
(150,277)
(150,315)
(150,316)
(227,281)
(151,281)
(151,227)
(151,235)
(236,235)
(151,236)
(152,211)
(152,296)
(157,190)
(157,158)
(157,161)
(157,179)
(157,184)
(158,190)
(158,160)
(158,161)
(160,161)
(159,160)
(160,190)
(159,190)
(159,238)
(161,179)
(161,180)
(162,163)
(162,170)
(162,171)
(163,167)
(163,169)
(163,170)
(252,164)
(165,164)
(164,194)
(252,165)
(188,165)
(165,203)
(165,249)
(166,276)
(276,280)
(166,284)
(166,302)
(167,168)
(167,169)
(167,282)
(168,282)
(260,168)
(291,168)
(169,170)
(170,171)
(169,171)
(260,171)
(169,260)
(169,282)
(260,282)
(172,196)
(172,198)
(172,222)
(172,201)
(172,204)
(173,217)
(173,218)
(173,219)
(174,197)
(174,198)
(174,206)
(174,223)
(174,254)
(223,254)
(175,273)
(175,275)
(175,285)
(272,176)
(176,281)
(176,274)
(176,287)
(277,316)
(176,316)
(176,277)
(176,284)
(177,186)
(186,281)
(177,272)
(272,281)
(177,281)
(179,180)
(179,184)
(180,181)
(180,184)
(181,184)
(185,255)
(185,258)
(186,295)
(186,296)
(187,190)
(187,193)
(194,187)
(188,196)
(252,196)
(252,188)
(188,225)
(188,249)
(192,189)
(189,193)
(194,193)
(189,194)
(189,203)
(194,203)
(190,193)
(190,191)
(190,238)
(192,193)
(191,193)
(191,192)
(191,251)
(191,195)
(191,238)
(191,242)
(192,203)
(192,251)
(203,249)
(195,234)
(195,242)
(195,240)
(195,251)
(197,198)
(198,222)
(197,207)
(199,197)
(197,222)
(198,206)
(206,223)
(198,223)
(199,200)
(199,220)
(199,207)
(219,199)
(219,207)
(200,219)
(220,200)
(201,204)
(212,204)
(201,212)
(201,216)
(201,221)
(201,222)
(202,205)
(205,212)
(202,212)
(212,216)
(202,213)
(202,216)
(212,347)
(208,347)
(208,212)
(208,320)
(211,267)
(211,296)
(212,319)
(212,320)
(319,320)
(213,214)
(216,213)
(214,215)
(214,217)
(215,216)
(215,217)
(217,218)
(215,218)
(216,218)
(218,219)
(216,219)
(216,221)
(219,220)
(219,221)
(220,221)
(222,220)
(222,221)
(223,252)
(223,253)
(252,253)
(304,225)
(225,226)
(225,240)
(234,226)
(240,226)
(240,234)
(226,243)
(226,244)
(226,303)
(304,303)
(304,226)
(227,236)
(227,244)
(228,231)
(228,296)
(271,228)
(228,297)
(229,230)
(232,229)
(230,232)
(230,270)
(230,294)
(231,267)
(231,296)
(267,296)
(232,233)
(267,232)
(267,233)
(232,294)
(232,297)
(234,242)
(234,243)
(235,305)
(235,239)
(235,315)
(235,316)
(316,315)
(236,244)
(236,303)
(244,303)
(237,246)
(237,247)
(247,248)
(237,248)
(238,242)
(243,242)
(238,243)
(238,244)
(243,244)
(239,245)
(245,305)
(239,305)
(239,315)
(315,317)
(239,317)
(317,318)
(239,318)
(240,249)
(249,251)
(240,251)
(246,247)
(305,246)
(305,247)
(255,256)
(255,258)
(256,258)
(258,259)
(256,259)
(261,260)
(291,260)
(260,264)
(260,265)
(262,263)
(262,261)
(291,261)
(291,262)
(261,263)
(261,264)
(263,264)
(263,277)
(264,265)
(264,277)
(277,265)
(266,326)
(266,327)
(266,332)
(266,334)
(268,269)
(269,270)
(268,270)
(268,271)
(268,295)
(270,271)
(270,294)
(270,298)
(271,295)
(295,296)
(271,296)
(271,297)
(271,298)
(272,287)
(272,275)
(272,285)
(275,285)
(273,285)
(285,289)
(273,289)
(274,275)
(274,287)
(275,287)
(274,284)
(274,302)
(284,302)
(277,280)
(284,277)
(284,280)
(294,297)
(294,298)
(297,298)
(299,336)
(299,344)
(299,348)
(301,321)
(301,322)
(301,323)
(308,309)
(309,337)
(308,337)
(310,312)
(312,338)
(310,338)
(310,345)
(311,338)
(311,345)
(338,345)
(321,323)
(341,321)
(322,323)
(341,323)
(341,322)
(326,325)
(326,327)
(325,327)
(325,332)
(327,332)
(326,329)
(330,329)
(326,330)
(331,330)
(326,331)
(333,331)
(326,332)
(326,333)
(328,333)
(328,334)
(332,333)
(333,334)
(332,334)
(336,344)
(344,348)
(336,348)
(343,346)
(347,346)
(347,343)
